created_at,full_text,image_url,lang,location,username,caseFolded_fullText,cleaning,matched_keyword,lintang,bujur,sumber,norm,stopwords,tokenized,stemmed,translated,score_vader,klasifikasi_vader,
Tue May 16 05:44:44 +0000 2023,A day at Taman Sari Yogyakarta ï¸ @thiyentraveljournal #tamansarijogja #staycation #yogyakarta #dolan #keluarbentar #liburan #visitingjogja #jogjaistimewa https://t.co/gdk0C551UR,https://pbs.twimg.com/ext_tw_video_thumb/1658347614734282752/pu/img/Fh0hua0rbGmaaTic.jpg,in,"Yogyakarta, Indonesia",visiting_jogja,a day at taman sari yogyakarta ï¸ @thiyentraveljournal #tamansarijogja #staycation #yogyakarta #dolan #keluarbentar #liburan #visitingjogja #jogjaistimewa https://t.co/gdk0c551ur,a day at taman sari yogyakarta,taman sari,-7.809979,110.358991,visit jogja,a day at taman sari yogyakarta,a day at taman sari yogyakarta,"['a', 'day', 'at', 'taman', 'sari', 'yogyakarta']",a day at taman sari yogyakarta,A day at Taman Sari Yogaakarta,0,Neutral,
Sat Jan 28 03:38:13 +0000 2023,A day in Jogja yuk! 1. Sunrise di Kebun Buah Mangunan 2. Seribu Batu Songgo Langit 3. Makan di Warung Bumi 4. Heha Ocean View Wah seru banget gak sihhh!!! Sumber: https://t.co/SnqPJrTXRd #incity #jalanjalandibayarin #pariwisata https://t.co/t3WnKZRPyi,https://pbs.twimg.com/media/Fnh5yo0aYAEavU-.jpg,in,,incityid,a day in jogja yuk! 1. sunrise di kebun buah mangunan 2. seribu batu songgo langit 3. makan di warung bumi 4. heha ocean view wah seru banget gak sihhh!!! sumber: https://t.co/snqpjrtxrd #incity #jalanjalandibayarin #pariwisata https://t.co/t3wnkzrpyi,a day in jogja yuk  sunrise di kebun buah mangunan  seribu batu songgo langit  makan di warung bumi  heha ocean view wah seru banget gak sihhh sumber,seribu batu,-7.930856,110.430884,dinpar diy 2023,a day in jogja yuk  sunrise di kebun buah mangunan  seribu batu songgo langit  makan di warung bumi  heha ocean view wah seru banget gak sihhh sumber,a day in jogja yuk  sunrise kebun buah mangunan  seribu batu songgo langit  makan warung bumi  heha ocean view wah seru banget gak sihhh sumber,"['a', 'day', 'in', 'jogja', 'yuk', 'sunrise', 'kebun', 'buah', 'mangunan', 'seribu', 'batu', 'songgo', 'langit', 'makan', 'warung', 'bumi', 'heha', 'ocean', 'view', 'wah', 'seru', 'banget', 'gak', 'sihhh', 'sumber']",a day in jogja yuk sunrise kebun buah mangun ribu batu songgo langit makan warung bumi heha ocean view wah seru banget gak sihhh sumber,A day in jogja yuk sunrise fruit gardens mangun thousand stone,0,Neutral,1148
Wed Oct 11 15:26:54 +0000 2023,ð“Œ‰â—¯ð“‡‹ ABHAYAGIRI - Venue and Dining Resto diatas bukit di seberang candi prambanan. Tempatnya cocok banget buat foto-foto family time dan bisa lihat view candi prambanan dan gunung merapi. https://t.co/TXA5Ie6y7q,https://pbs.twimg.com/media/F8KzAh7aEAABh93.jpg,in,"Kota Yogyakarta, Yogyakarta",sewamotorrjog,ð“Œ‰â—¯ð“‡‹ abhayagiri - venue and dining resto diatas bukit di seberang candi prambanan. tempatnya cocok banget buat foto-foto family time dan bisa lihat view candi prambanan dan gunung merapi. https://t.co/txa5ie6y7q,abhayagiri  venue and dining resto diatas bukit di seberang candi prambanan tempatnya cocok banget buat fotofoto family time dan bisa lihat view candi prambanan dan gunung merapi,candi prambanan,-7.752021,110.491467,visit jogja,abhayagiri  venue and dining resto diatas bukit di seberang candi prambanan tempatnya cocok banget buat fotofoto family time dan bisa lihat view candi prambanan dan gunung merapi,abhayagiri  venue and dining resto diatas bukit seberang candi prambanan tempatnya cocok banget buat fotofoto family time bisa lihat view candi prambanan gunung merapi,"['abhayagiri', 'venue', 'and', 'dining', 'resto', 'diatas', 'bukit', 'seberang', 'candi', 'prambanan', 'tempatnya', 'cocok', 'banget', 'buat', 'fotofoto', 'family', 'time', 'bisa', 'lihat', 'view', 'candi', 'prambanan', 'gunung', 'merapi']",abhayagiri venue and ning resto atas bukit seberang candi prambanan tempat cocok banget buat fotofoto family time bisa lihat view candi prambanan gunung merapi,abhayagiri venue and ning restaurant over hill across the Prambanan temple place is very suitable for photographs of family time can see the view of the Prambanan Mount Merapi temple,0,Neutral,1005
Mon Mar 20 04:24:23 +0000 2023,Abis dari makam+pantai kita pulang dulu ke rumah terus niatnya cuma mau jemput Freya ke mall sama ke Malioboro eh dengan randomnya Om Ofan langsung ngajak ke Pantai lg dong dari Jogja ke pantai itu tuh 2 jam perjalanan tp pas udah nyampe sana kita disana cuma kira2 sejam,,in,"Depok, Jawa Barat",ameliaaa01,abis dari makam+pantai kita pulang dulu ke rumah terus niatnya cuma mau jemput freya ke mall sama ke malioboro eh dengan randomnya om ofan langsung ngajak ke pantai lg dong dari jogja ke pantai itu tuh 2 jam perjalanan tp pas udah nyampe sana kita disana cuma kira2 sejam,abis dari makampantai kita pulang dulu ke rumah terus niatnya cuma mau jemput freya ke mall sama ke malioboro eh dengan randomnya om ofan langsung ngajak ke pantai lg dong dari jogja ke pantai itu tuh  jam perjalanan tp pas udah nyampe sana kita disana cuma kira sejam,malioboro,-7.792646,110.365871,dinpar diy 2023,abis dari makampantai kita pulang dulu ke rumah terus niatnya cuma mau jemput freya ke mall sama ke malioboro eh dengan randomnya om ofan langsung ngajak ke pantai lagi dong dari jogja ke pantai itu tuh  jam perjalanan tp pas udah nyampe sana kita disana cuma kira sejam,abis makampantai pulang dulu rumah terus niatnya cuma mau jemput freya mall sama malioboro eh randomnya om ofan langsung ngajak pantai lg dong jogja pantai tuh  jam perjalanan tp pas udah nyampe sana disana cuma kira sejam,"['abis', 'makampantai', 'pulang', 'dulu', 'rumah', 'terus', 'niatnya', 'cuma', 'mau', 'jemput', 'freya', 'mall', 'sama', 'malioboro', 'eh', 'randomnya', 'om', 'ofan', 'langsung', 'ngajak', 'pantai', 'lg', 'dong', 'jogja', 'pantai', 'tuh', 'jam', 'perjalanan', 'tp', 'pas', 'udah', 'nyampe', 'sana', 'disana', 'cuma', 'kira', 'sejam']",abis makampantai pulang dulu rumah terus niat cuma mau jemput freya mall sama malioboro eh randomnya om ofan langsung ngajak pantai lg dong jogja pantai tuh jam jalan tp pas udah nyampe sana sana cuma kira jam,After returning home the house and the intention is to just invite Freya Mall with Malioboro eh random om Ofan directly invite the beach dong dong jogja beach at the road but when,0.1531,Positive,244
Sun Aug 13 13:30:34 +0000 2023,Abrasi Ancam Penangkaran Penyu di Pantai Trisik Kulonprogo #beritajogja #jogja #jogjaistimewa https://t.co/VGR4BigxmN https://t.co/y7kSi0AJr3,https://pbs.twimg.com/media/F3ailv4boAE0zyy.jpg,in,"Yogyakarta, Indonesia",Harian_Jogja,abrasi ancam penangkaran penyu di pantai trisik kulonprogo #beritajogja #jogja #jogjaistimewa https://t.co/vgr4bigxmn https://t.co/y7ksi0ajr3,abrasi ancam penangkaran penyu di pantai trisik kulonprogo,pantai trisik,-7.967335,110.182607,visit jogja,abrasi ancam penangkaran penyu di pantai trisik kulonprogo,abrasi ancam penangkaran penyu pantai trisik kulonprogo,"['abrasi', 'ancam', 'penangkaran', 'penyu', 'pantai', 'trisik', 'kulonprogo']",abrasi ancam tangkar penyu pantai trisik kulonprogo,Abrasion Threatens Tukar Turtle Turtle Trisik Kulonprogo,-0.3818,Negative,
Thu Jan 05 08:22:33 +0000 2023,Abrasi Rusak Pantai Pandansari Bantul Ancam Bangunan dan Kebun https://t.co/pmvB8oTcGZ,,in,"Yogyakarta, Indonesia",IDNTimesJogja,abrasi rusak pantai pandansari bantul ancam bangunan dan kebun https://t.co/pmvb8otcgz,abrasi rusak pantai pandansari bantul ancam bangunan dan kebun,pantai pandansari,-8.00069,110.253336,visit jogja,abrasi rusak pantai pandansari bantul ancam bangunan dan kebun,abrasi rusak pantai pandansari bantul ancam bangunan kebun,"['abrasi', 'rusak', 'pantai', 'pandansari', 'bantul', 'ancam', 'bangunan', 'kebun']",abrasi rusak pantai pandansari bantul ancam bangun kebun,Damaged Abrasion Pandansari Beach Bantul Threatens to Build Garden,-0.6705,Negative,
Sat Mar 11 09:17:05 +0000 2023,Abu Vulkanik Gunung Merapi Menyebar Sampai ke Wonosobo https://t.co/gWKKTbs1R2 #beritajogja #jogja #jogjaistimewa https://t.co/XiBYxrsFn4,https://pbs.twimg.com/media/Fq7aJbyaAAAB5OP.jpg,in,"Yogyakarta, Indonesia",Harian_Jogja,abu vulkanik gunung merapi menyebar sampai ke wonosobo https://t.co/gwkktbs1r2 #beritajogja #jogja #jogjaistimewa https://t.co/xibyxrsfn4,abu vulkanik gunung merapi menyebar sampai ke wonosobo,gunung merapi,-7.540716,110.445723,visit jogja,abu vulkanik gunung merapi menyebar sampai ke wonosobo,abu vulkanik gunung merapi menyebar ke wonosobo,"['abu', 'vulkanik', 'gunung', 'merapi', 'menyebar', 'ke', 'wonosobo']",abu vulkanik gunung merapi sebar ke wonosobo,volcanic ash of Mount Merapi scatter to Wonosobo,0,Neutral,
Sat Nov 25 04:55:18 +0000 2023,Ada 5 rekomendasi tempat wisata alam di Jogja yang cocok untuk healing akhir tahun dari Ayunan Langit Watu Jaran Hingga Hutan Pinus. #portalyogya #Jogja https://t.co/uyedJw2sT3,,in,Pogung Dalangan Gang Semar No.,portalyogya,ada 5 rekomendasi tempat wisata alam di jogja yang cocok untuk healing akhir tahun dari ayunan langit watu jaran hingga hutan pinus. #portalyogya #jogja https://t.co/uyedjw2st3,ada  rekomendasi tempat wisata alam di jogja yang cocok untuk healing akhir tahun dari ayunan langit watu jaran hingga hutan pinus,ayunan langit,-7.735635,110.130326,dinpar diy 2023,ada  rekomendasi tempat wisata alam di jogja yang cocok untuk healing akhir tahun dari ayunan langit watu jaran hingga hutan pinus, rekomendasi tempat wisata alam jogja cocok healing akhir tahun ayunan langit watu jaran hingga hutan pinus,"['rekomendasi', 'tempat', 'wisata', 'alam', 'jogja', 'cocok', 'healing', 'akhir', 'tahun', 'ayunan', 'langit', 'watu', 'jaran', 'hingga', 'hutan', 'pinus']",rekomendasi tempat wisata alam jogja cocok healing akhir tahun ayun langit watu jaran hingga hutan pinus,Recommendations for Jogja Natural Tourist Attractions Suitable Healing of the End of Year Ayun Langit Watu Jaran to Pine Forest,0.6486,Positive,
Wed Nov 22 09:15:26 +0000 2023,Ada 12 tempat wisata Jogja pilihan yang cocok untuk menghabiskan liburan bareng keluarga di akhir tahun. Salah satunya Hutan Pinus Pengger. #portalyogya #Jogja https://t.co/0jjkxwoRSA,,in,Pogung Dalangan Gang Semar No.,portalyogya,ada 12 tempat wisata jogja pilihan yang cocok untuk menghabiskan liburan bareng keluarga di akhir tahun. salah satunya hutan pinus pengger. #portalyogya #jogja https://t.co/0jjkxworsa,ada  tempat wisata jogja pilihan yang cocok untuk menghabiskan liburan bareng keluarga di akhir tahun salah satunya hutan pinus pengger,pinus pengger,-7.871191,110.459542,dinpar diy 2023,ada  tempat wisata jogja pilihan yang cocok untuk menghabiskan liburan bareng keluarga di akhir tahun salah satunya hutan pinus pengger, tempat wisata jogja pilihan cocok menghabiskan liburan bareng keluarga akhir tahun salah satunya hutan pinus pengger,"['tempat', 'wisata', 'jogja', 'pilihan', 'cocok', 'menghabiskan', 'liburan', 'bareng', 'keluarga', 'akhir', 'tahun', 'salah', 'satunya', 'hutan', 'pinus', 'pengger']",tempat wisata jogja pilih cocok habis libur bareng keluarga akhir tahun salah satu hutan pinus pengger,Jogja tourist attractions choose to match the holidays with the end of the year of the year one of the pine forests,0.6597,Positive,
Mon Jun 05 00:48:46 +0000 2023,Ada 2 versi kronologi perdelisihan ini di media daring. pertama di malam hari ada tiga orang yang sedang mabuk mabukan di pantai parangtritis orang tersebut 2 berasal dari kota jogja dan sarunya berasal dari jawa barat namun sudah bertinggal di gamping dilerai olh warga sekitr,,in,"Gajahmungkur, Indonesia",ratuman1,ada 2 versi kronologi perdelisihan ini di media daring. pertama di malam hari ada tiga orang yang sedang mabuk mabukan di pantai parangtritis orang tersebut 2 berasal dari kota jogja dan sarunya berasal dari jawa barat namun sudah bertinggal di gamping dilerai olh warga sekitr,ada  versi kronologi perdelisihan ini di media daring pertama di malam hari ada tiga orang yang sedang mabuk mabukan di pantai parangtritis orang tersebut  berasal dari kota jogja dan sarunya berasal dari jawa barat namun sudah bertinggal di gamping dilerai olh warga sekitr,pantai parangtritis,-8.024608,110.329804,visit jogja,ada  versi kronologi perdelisihan ini di media daring pertama di malam hari ada tiga orang yang sedang mabuk mabukan di pantai parangtritis orang tersebut  berasal dari kota jogja dan sarunya berasal dari jawa barat namun sudah bertinggal di gamping dilerai olh warga sekitr, versi kronologi perdelisihan media daring pertama malam hari tiga orang sedang mabuk mabukan pantai parangtritis orang tersebut  berasal kota jogja sarunya berasal jawa barat sudah bertinggal di gamping dilerai olh warga sekitr,"['versi', 'kronologi', 'perdelisihan', 'media', 'daring', 'pertama', 'malam', 'hari', 'tiga', 'orang', 'sedang', 'mabuk', 'mabukan', 'pantai', 'parangtritis', 'orang', 'tersebut', 'berasal', 'kota', 'jogja', 'sarunya', 'berasal', 'jawa', 'barat', 'sudah', 'bertinggal', 'di', 'gamping', 'dilerai', 'olh', 'warga', 'sekitr']",versi kronologi sih media daring pertama malam hari tiga orang sedang mabuk mabuk pantai parangtritis orang sebut asal kota jogja saru asal jawa barat sudah tinggal di gamping lerai olh warga sekitr,"The chronology version of the first online media at night three people are drunk drunk Parangtritis beach people call from the city of Jogja from West Java already lived in Lamping Limp Olh, a resident",-0.5859,Negative,
