no,dtw,lintang,bujur,wadmkd,total
1,La Li Sa Farmer Village,-7.820276,110.241104,Argosari,111181
2,Museum Dirgantara,-7.790185,110.417293,Karang Jambe,0
3,Gunung Pengger,-7.871191,110.459542,Terong,415792
4,Puncak Becici,-7.902021,110.437515,Muntuk,213181
5,Lintang 1000,-7.915792,110.436687,Muntuk,9023
6,Pinus Asri,-7.920912,110.43561,Mangunan,8711
7,Pinus Sari,-7.920906,110.435601,Mangunan,346915
8,1000 Batu,-7.930856,110.430884,Mangunan,68426
9,Bukit Panguk,-7.958362,110.440774,Mangunan,14070
10,Bukit Mojo,-7.957355,110.433499,Mangunan,0
11,LBH Dahromo,-7.794849,110.348046,Ngestiharjo,0
12,Balong Park,-7.843435,110.41041,Potorono,19476
13,Galaxi Water Park,-7.815948,110.413734,Baturetno,22084
14,Taman Rekreasi Tirto Tamansari,-7.88146,110.339655,Trirenggo,102920
15,Selopamioro Adventure park,-7.94624,110.426616,Selopamioro,0
16,Kebun Pisang Mbah Lasio,-7.965729,110.304094,Sidomulyo,1970
17,Goa Jepang,-8.001828,110.329731,Girijati,0
18,Puncak Sosok,-7.871682,110.426228,Bawuran,384975
19,Kawasan Cagar Budaya Jagalan,-7.829988,110.395527,Jagalan,1336
20,Masjid Gedhe Mataram Kotagede,-7.829358,110.398216,Jagalan,39785
21,Makam Sunan Cirebon,-7.91679,110.407472,Wukirsari,0
22,Lembah Sorory,-7.945734,110.365819,Sriharjo,22314
23,Museum Soeharto,-7.791292,110.280492,Argomulyo,68186
24,Museum Muhammadiyah,-7.833968,110.383846,Tamanan,48537
25,Padepokan Sumber Karahayon,-7.859594,110.409304,Jambidan,115
26,Museum Wayang Beber Sekartaji,-7.924744,110.308257,Kanutan,2213
27,Museum Laboratorium Sejarah UPY,-7.805881,110.341112,Sonosewu,7417
28,Museum Tani Jawa,-7.924477,110.371573,Candran,3808
29,Museum Purbakala Pleret,-7.868552,110.405236,Dusun Kedaton,7813
30,Museum History Of Java,-7.843893,110.362325,Jl. Parangtritis 5 KM,3091
