no,dtw,lintang,bujur,wadmkd,wadmkc,wadmkk,jan,feb,mar,apr,mei,jun,jul,ags,sept,okt,nov,des,jen_wis,total
1,La Li Sa Farmer Village,-7.820276,110.241104,Argosari,Sedayu,Bantul,13383,9887,8011,14911,10197,12392,13170,5931,5300,4280,4014,9705,Wisata Buatan,111181
2,Museum Dirgantara,-7.790185,110.417293,Karang Jambe,Banguntapan,Bantul,0,0,0,0,0,0,0,0,0,0,0,0,Wisata Budaya,0
3,Gunung Pengger,-7.871191,110.459542,Terong,Dlingo,Bantul,37121,29368,26396,16709,46443,45459,46456,21929,23969,37513,28783,55646,Wisata Alam,415792
4,Puncak Becici,-7.902021,110.437515,Muntuk,Dlingo,Bantul,19379,15527,12404,10292,20443,21641,24977,13089,13021,18647,15357,28404,Wisata Alam,213181
5,Lintang 1000,-7.915792,110.436687,Muntuk,Dlingo,Bantul,1108,716,631,797,976,696,908,842,519,641,396,793,Wisata Buatan,9023
6,Pinus Asri,-7.920912,110.43561,Mangunan,Dlingo,Bantul,1012,657,519,685,926,846,886,482,496,638,622,942,Wisata Alam,8711
7,Pinus Sari,-7.920906,110.435601,Mangunan,Dlingo,Bantul,33930,25114,20844,25316,29421,31875,40659,21832,20822,28530,24809,43763,Wisata Alam,346915
8,1000 Batu,-7.930856,110.430884,Mangunan,Dlingo,Bantul,7245,5067,3900,4245,6774,5894,8669,3908,4510,5133,4707,8374,Wisata Alam,68426
9,Bukit Panguk,-7.958362,110.440774,Mangunan,Dlingo,Bantul,1470,972,1025,1093,1194,1741,1737,992,966,1054,606,1220,Wisata Alam,14070
10,Bukit Mojo,-7.957355,110.433499,Mangunan,Dlingo,Bantul,0,0,0,0,0,0,0,0,0,0,0,0,Wisata Alam,0
11,LBH Dahromo,-7.794849,110.348046,Ngestiharjo,Kasihan,Bantul,0,0,0,0,0,0,0,0,0,0,0,0,Wisata Alam,0
12,Balong Park,-7.843435,110.41041,Potorono,Banguntapan,Bantul,1651,0,1885,1908,1694,1877,1803,1458,1816,1717,1764,1903,Wisata Buatan,19476
13,Galaxi Water Park,-7.815948,110.413734,Baturetno,Banguntapan,Bantul,2038,2513,1630,2046,1301,1916,2513,1956,764,1509,1156,2742,Wisata Buatan,22084
14,Taman Rekreasi Tirto Tamansari,-7.88146,110.339655,Trirenggo,Bantul,Bantul,10975,8072,8300,5682,10252,9828,8548,6553,8392,9396,7232,9690,Wisata Budaya,102920
15,Selopamioro Adventure park,-7.94624,110.426616,Selopamioro,Imogiri,Bantul,0,0,0,0,0,0,0,0,0,0,0,0,Wisata Alam,0
16,Kebun Pisang Mbah Lasio,-7.965729,110.304094,Sidomulyo,Bambanglipuro,Bantul,376,108,198,108,48,46,22,151,386,46,241,240,Wisata Alam,1970
17,Goa Jepang,-8.001828,110.329731,Girijati,Pundong,Bantul,0,0,0,0,0,0,0,0,0,0,0,0,Wisata Alam,0
18,Puncak Sosok,-7.871682,110.426228,Bawuran,Pleret,Bantul,32743,14873,21667,14867,33680,41245,37459,33365,40320,41507,31200,42049,Wisata Alam,384975
19,Kawasan Cagar Budaya Jagalan,-7.829988,110.395527,Jagalan,Banguntapan,Bantul,81,50,58,46,80,75,76,83,110,122,202,353,Wisata Budaya,1336
20,Masjid Gedhe Mataram Kotagede,-7.829358,110.398216,Jagalan,Banguntapan,Bantul,4410,2593,2568,2155,3644,3039,4022,3349,3648,3375,2947,4035,Wisata Budaya,39785
21,Makam Sunan Cirebon,-7.91679,110.407472,Wukirsari,Imogiri,Bantul,0,0,0,0,0,0,0,0,0,0,0,0,Wisata Budaya,0
22,Lembah Sorory,-7.945734,110.365819,Sriharjo,Imogiri,Bantul,2002,1272,1695,1667,2530,2773,1488,1084,1886,1425,2125,2367,Wisata Buatan,22314
23,Museum Soeharto,-7.791292,110.280492,Argomulyo,Sedayu,Bantul,5446,5566,4650,2043,7504,4471,8077,7082,3460,4929,7857,7101,Wisata Budaya,68186
24,Museum Muhammadiyah,-7.833968,110.383846,Tamanan,Banguntapan,Bantul,5327,4653,3781,578,4651,3216,4617,3733,2586,5244,4318,5833,Wisata Budaya,48537
25,Padepokan Sumber Karahayon,-7.859594,110.409304,Jambidan,Banguntapan,Bantul,0,0,0,0,9,39,62,0,3,2,0,0,Wisata Budaya,115
26,Museum Wayang Beber Sekartaji,-7.924744,110.308257,Kanutan,Bambanglipuro,Bantul,111,168,187,82,151,466,162,95,95,287,317,92,Wisata Budaya,2213
27,Museum Laboratorium Sejarah UPY,-7.805881,110.341112,Sonosewu,Kasihan,Bantul,315,485,379,571,159,2098,457,257,862,523,616,695,Wisata Budaya,7417
28,Museum Tani Jawa,-7.924477,110.371573,Candran,Imogiri,Bantul,53,358,250,7,516,496,643,464,618,193,120,90,Wisata Budaya,3808
29,Museum Purbakala Pleret,-7.868552,110.405236,Dusun Kedaton,Imogiri,Bantul,206,534,593,281,925,223,876,1030,1122,581,902,540,Wisata Budaya,7813
30,Museum History Of Java,-7.843893,110.362325,Jl. Parangtritis 5 KM,Sewon,Bantul,899,1202,990,0,0,0,0,0,0,0,0,0,Wisata Budaya,3091
31,Museum Taman Tino Sidin,-7.799513,110.34505,Jl. Tino Sidin,Kasihan,Bantul,99,115,127,117,173,264,253,619,244,227,277,188,Wisata Budaya,2703
32,Museum Bantul Masa Belanda,-7.918919,110.31954,Palbapang,Bantul,Bantul,27,37,68,27,79,25,78,72,90,121,101,47,Wisata Budaya,772
33,Museum Rumah Garuda,-7.909046,110.341759,Trirenggo,Bantul,Bantul,0,0,10,0,0,40,0,10,10,10,10,10,Wisata Budaya,100
34,Museum Coklat Monggo,-7.84052,110.297902,Timbulharjo,Sewon,Bantul,3376,2017,3388,3163,2560,3096,2142,1161,1993,2594,3260,4167,Wisata Budaya,32917
35,Embung Nglanggeran,-7.847131,110.546891,Nglanggeran,Patuk,Gunung Kidul,6858,3853,3666,2331,6514,6640,6813,4376,4933,4496,4099,9168,Wisata Alam,63747
36,Watu Giring,-7.997045,110.628677,Sambirejo,Semanu,Gunung Kidul,11,133,8518,10851,13102,12669,16412,8473,9840,17789,10153,14449,Wisata Alam,122400
37,Bejiharjo Edupark,-7.937145,110.63588,Bejiharjo,Karangmojo,Gunung Kidul,4251,3264,3002,2696,6393,5792,5842,2799,3782,4554,3941,12075,Wisata Alam,58391
38,Gua Pindul Dewa Bejo,-7.926658,110.647774,Bejiharjo,Karangmojo,Gunung Kidul,4251,3264,3002,2696,6393,5792,5842,2799,3782,4554,3941,12075,Wisata Alam,58391
39,Goa Rancang Kencana,-7.949695,110.49284,Bleberan,Playen,Gunung Kidul,1635,1084,1200,1937,2106,1722,2582,2656,2664,2953,2024,4920,Wisata Alam,27483
40,Air Terjun Sri Gethuk,-7.949695,110.49284,Bleberan,Playen,Gunung Kidul,1635,1084,1200,1937,2106,1722,2582,2656,2664,2953,2024,4920,Wisata Alam,27483
41,Gunung Api Purba Nglanggeran,-7.841973,110.541643,Nglanggeran,Patuk,Gunung Kidul,6858,3853,3666,2331,6514,6640,6813,4376,4933,4496,4099,9168,Wisata Alam,63747
42,Pantai Kukup,-8.133703,110.554761,Kemadang,Tanjungsari,Gunung Kidul,107662,82513,59521,112316,183166,132620,353184,140216,142862,114269,107254,313812,Wisata Alam,1849395
43,Pantai Sepanjang,-8.136653,110.566032,Kemadang,Tanjungsari,Gunung Kidul,107662,82513,59521,112316,183166,132620,353184,140216,142862,114269,107254,313812,Wisata Alam,1849395
44,Beach Drini,-8.138441,110.577548,Banjarejo,Tanjungsari,Gunung Kidul,107662,82513,59521,112316,183166,132620,353184,140216,142862,114269,107254,313812,Wisata Alam,1849395
45,Pantai Sadranan,-8.145657,110.604421,Sadranan,Tepus,Gunung Kidul,107662,82513,59521,112316,183166,132620,353184,140216,142862,114269,107254,313812,Wisata Alam,1849395
46,Pantai Pok Tunggal,-8.154943,110.621493,Jl. Pok Tunggal,Tepus,Gunung Kidul,107662,82513,59521,112316,183166,132620,353184,140216,142862,114269,107254,313812,Wisata Alam,1849395
47,Pantai Pulang Sawal,-8.150649,110.61263,Sidoharjo,Tepus,Gunung Kidul,107662,82513,59521,112316,183166,132620,353184,140216,142862,114269,107254,313812,Wisata Alam,1849395
48,Pantai Wediombo,-8.187282,110.711882,Jepitu,Girisobo,Gunung Kidul,9953,6107,5219,13482,17289,12715,26105,13260,14035,9652,8282,27465,Wisata Alam,163564
49,Pantai Watu Lumbung,-8.18601,110.700301,Balong,Girisobo,Gunung Kidul,9953,6107,5219,13482,17289,12715,26105,13260,14035,9652,8282,27465,Wisata Alam,163564
