matched_keyword,jumlah_positif
air terjun kedung kandang,2
air terjun sri gethuk,2
alkid,11
ayunan langit,1
batu kapal,1
bejiharjo edupark,1
blue lagoon,1
bukit bintang,62
bukit cendana,1
bukit klangon,14
bukit panguk,6
bukit pengilon,12
bukit teletubbies,5
candi ijo,3
candi prambanan,19
candi ratu boko,7
candi sambisari,1
candi sewu,1
desa kemadang,1
desa wisata hargotirto,1
desa wisata kasongan,1
desa wisata nglinggo,1
desa wisata tembi,1
desa wisata trumpon,1
desa wisata wukirsari,3
embung banjaroya,1
embung langensari,3
embung nglanggeran,6
embung tambakboyo,5
exotarium,1
gamplong,4
gembira loka,17
geoforest watu payung turunan,1
glamping menoreh,2
goa cemara,8
goa cerme,1
goa gajah,3
goa jomblang,1
goa langse,3
goa pindul,4
grojogan sewu,2
gua maria,1
gumuk pasir parangkusumo,2
gumuk pasir parangtritis,2
gunung api nglanggeran,1
gunung api purba nglanggeran,9
gunung ireng,13
gunung jaran,1
gunung merapi,118
heha forest,9
heha ocean,11
heha sky view,10
history of java,1
jogja bay,8
jurang tembelan,2
kampung emas,1
kampung wisata purbayan,4
kampung wisata sayidan,1
kampung wisata sosromenduran,1
kebun buah mangunan,10
kebun teh nglinggo,1
kedung pedut,3
keraton jogja,1
kids fun,8
klebengan,2
kopi merapi,4
la li sa,4
lalisa,2
lava bantal,1
ledok sambi,4
lintang sewu,2
malioboro,218
menoreh view,1
mini zoo,7
mlarangan asri,1
monjali,4
monumen jogja kembali,2
museum affandi,7
museum batik,4
museum benteng vredeburg,19
museum dewantara,3
museum dirgantara,8
museum kereta,4
museum merapi,4
museum mini sisa hartaku,5
museum muhammadiyah,2
museum perjuangan,5
museum purbakala pleret,1
museum sandi,7
museum soeharto,1
museum sonobudoyo,23
museum ulen sentalu,1
museum wayang beber sekartaji,1
obelix hills,10
obelix village,2
pantai baron,17
pantai bugel,1
pantai congot,6
pantai dadap ayam,1
pantai depok,20
pantai drini,10
pantai gesing,2
pantai glagah,23
pantai greweng,3
pantai indrayanti,7
pantai jogan,2
pantai jungwok,4
pantai kesirat,10
pantai krakal,3
pantai kukup,6
pantai mbirit,1
pantai mbuluk,3
pantai mesra,4
pantai midodaren,3
pantai ngetun,5
pantai nglambor,6
pantai ngobaran,5
pantai ngrawe,1
pantai ngrenehan,1
pantai ngungap,2
pantai nguyahan,1
pantai pandansari,3
pantai parangkusumo,17
pantai parangtritis,79
pantai pok tunggal,2
pantai sadeng,2
pantai sadranan,5
pantai samas,4
pantai sarangan,1
pantai sedahan,4
pantai sepanjang,3
pantai seruni,2
pantai siung,11
pantai slili,5
pantai sundak,3
pantai timang,8
pantai trisik,7
pantai watu lumbung,6
pantai wediombo,8
pantai wohkudu,3
pengklik,1
pentingsari,1
pinus asri,2
pinus mangunan,6
pinus pengger,15
pok tunggal,2
puncak becici,5
puncak segoro,8
puncak sosok,4
puncak suroloyo,1
puro pakualaman,1
selopamioro,3
seribu batu,2
situs warungboto,2
studio alam gamplong,4
sungai mudal,5
suraloka zoo,1
taman pelangi,1
taman pintar,7
taman sari,13
tebing breksi,10
tebing watu mabur,1
telaga jonge,1
towilfiets,1
tugu jogja,28
ulen sentalu,7
ullen sentalu,19
vredeburg,11
waduk sermo,34
watu goyang,1
watu purbo,2
wedi ombo,2
wediombo,3
