created_at,full_text,image_url,lang,location,username,caseFolded_fullText,cleaning,matched_keyword,lintang,bujur,sumber,norm,stopwords,tokenized,stemmed,translated,score_vader,klasifikasi_vader,eval
Sun Aug 27 14:11:37 +0000 2023,Salah satu spot sunrise di Jogja yang wajib dikunjungi Ã¯Â¸Â Gunung Ireng Gunung Kidul Jogja : Didit anggiawan https://t.co/NyXpcfZ2ys,https://pbs.twimg.com/ext_tw_video_thumb/1695801191966584832/pu/img/ApUaDYY2D5uDOMS1.jpg,in,"Yogyakarta, Indonesia",merapi_uncover,salah satu spot sunrise di jogja yang wajib dikunjungi Ã¯Â¸Â gunung ireng gunung kidul jogja : didit anggiawan https://t.co/nyxpcfz2ys,salah satu spot sunrise di jogja yang wajib dikunjungi  gunung ireng gunung kidul jogja  didit anggiawan,gunung ireng,-7.881011,110.488578,visit jogja,salah satu spot sunrise di jogja yang wajib dikunjungi  gunung ireng gunung kidul jogja  didit anggiawan,salah satu spot sunrise jogja wajib dikunjungi  gunung ireng gunung kidul jogja  didit anggiawan,"['salah', 'satu', 'spot', 'sunrise', 'jogja', 'wajib', 'dikunjungi', 'gunung', 'ireng', 'gunung', 'kidul', 'jogja', 'didit', 'anggiawan']",salah satu spot sunrise jogja wajib kunjung gunung ireng gunung kidul jogja didit anggiawan,One of the sunrise spots in Jogja that is required to visit Mount Ireng Mount Kidul Jogja,0,netral,positif
Tue Feb 21 00:21:31 +0000 2023,Labuhan Keraton Ngayogyakarta akan kembali dilaksanakan di Pantai Parangkusumo Sob Saksikan upacara tradisi Labuhan pagi ini pukul 07.30 WIB-Selesai mulai di Pendhopo Kapanewon Kretek menuju Pantai Parangkusumo #LabuhanKeraton #BantulEvent #visitingjogja #jogjaistimewa https://t.co/JROk0H88qB,https://pbs.twimg.com/media/Fpcy8h-acAI59aZ.jpg,in,"Yogyakarta, Indonesia",visiting_jogja,labuhan keraton ngayogyakarta akan kembali dilaksanakan di pantai parangkusumo sob saksikan upacara tradisi labuhan pagi ini pukul 07.30 wib-selesai mulai di pendhopo kapanewon kretek menuju pantai parangkusumo #labuhankeraton #bantulevent #visitingjogja #jogjaistimewa https://t.co/jrok0h88qb,labuhan keraton ngayogyakarta akan kembali dilaksanakan di pantai parangkusumo sob saksikan upacara tradisi labuhan pagi ini pukul  wibselesai mulai di pendhopo kapanewon kretek menuju pantai parangkusumo,pantai parangkusumo,-8.022769,110.324995,visit jogja,labuhan keraton ngayogyakarta akan kembali dilaksanakan di pantai parangkusumo sob saksikan upacara tradisi labuhan pagi ini pukul  wibselesai mulai di pendhopo kapanewon kretek menuju pantai parangkusumo,labuhan keraton ngayogyakarta kembali dilaksanakan pantai parangkusumo sob saksikan upacara tradisi labuhan pagi pukul  wibselesai mulai pendhopo kapanewon kretek menuju pantai parangkusumo,"['labuhan', 'keraton', 'ngayogyakarta', 'kembali', 'dilaksanakan', 'pantai', 'parangkusumo', 'sob', 'saksikan', 'upacara', 'tradisi', 'labuhan', 'pagi', 'pukul', 'wibselesai', 'mulai', 'pendhopo', 'kapanewon', 'kretek', 'menuju', 'pantai', 'parangkusumo']",labuh keraton ngayogyakarta kembali laksana pantai parangkusumo sob saksi upacara tradisi labuh pagi pukul wibselesai mulai pendhopo kapanewon kretek tuju pantai parangkusumo,"Labuhan Keraton Ngayogyakarta will be held again at Parangkusumo Beach, friend, witness the Labuhan traditional ceremony this morning at Wib and Sterto starting at Pendhopo Whaw when Kretek to Parangkusumo Beach",0.4939,positif,netral
Tue Jul 18 04:44:52 +0000 2023,@storynimade @convomf pantai krakal gunung kidul jogja kakk,,in,,Nyennie_,@storynimade @convomf pantai krakal gunung kidul jogja kakk,pantai krakal gunung kidul jogja kakk,pantai krakal,-8.145102,110.598801,visit jogja,pantai krakal gunung kidul jogja kakk,pantai krakal gunung kidul jogja kakk,"['pantai', 'krakal', 'gunung', 'kidul', 'jogja', 'kakk']",pantai krakal gunung kidul jogja kakk,Krakal Beach Gunung Kidul Jogja Kakk,0,netral,netral
Sun May 07 09:18:12 +0000 2023,Soal Subjugasi bs kita liat dr kasusnya Zulu atau Keraton Jogja bgmn Inggris ngehancurin dan ngejarah wilayah yg dia taklukkan. Dlm kasus Jogja mayoritas relik Keraton skrng ada d Museum Inggris. Dlm kasus Zulu Inggris sengaja bikin masalah demi ngehancurin Zululand,,in,"Jakarta, Indonesia",Seph_Bimo,soal subjugasi bs kita liat dr kasusnya zulu atau keraton jogja bgmn inggris ngehancurin dan ngejarah wilayah yg dia taklukkan. dlm kasus jogja mayoritas relik keraton skrng ada d museum inggris. dlm kasus zulu inggris sengaja bikin masalah demi ngehancurin zululand,soal subjugasi bs kita liat dr kasusnya zulu atau keraton jogja bgmn inggris ngehancurin dan ngejarah wilayah yg dia taklukkan dlm kasus jogja mayoritas relik keraton skrng ada d museum inggris dlm kasus zulu inggris sengaja bikin masalah demi ngehancurin zululand,keraton jogja,-7.805306,110.364207,visit jogja,soal subjugasi bs kita liat dari kasusnya zulu atau keraton jogja bgmn inggris ngehancurin dan ngejarah wilayah yang dia taklukkan dlm kasus jogja mayoritas relik keraton skrng ada d museum inggris dlm kasus zulu inggris sengaja bikin masalah demi ngehancurin zululand,soal subjugasi bs liat dr kasusnya zulu keraton jogja bgmn inggris ngehancurin ngejarah wilayah yg taklukkan dlm kasus jogja mayoritas relik keraton skrng d museum inggris dlm kasus zulu inggris sengaja bikin masalah ngehancurin zululand,"['soal', 'subjugasi', 'bs', 'liat', 'dr', 'kasusnya', 'zulu', 'keraton', 'jogja', 'bgmn', 'inggris', 'ngehancurin', 'ngejarah', 'wilayah', 'yg', 'taklukkan', 'dlm', 'kasus', 'jogja', 'mayoritas', 'relik', 'keraton', 'skrng', 'd', 'museum', 'inggris', 'dlm', 'kasus', 'zulu', 'inggris', 'sengaja', 'bikin', 'masalah', 'ngehancurin', 'zululand']",soal subjugasi bs liat dr kasus zulu keraton jogja bgmn inggris ngehancurin ngejarah wilayah yg takluk dlm kasus jogja mayoritas relik keraton skrng d museum inggris dlm kasus zulu inggris sengaja bikin masalah ngehancurin zululand,"Regarding the subjugation of we can see from the case of Zulu or the Palace of Jogja, the British is destroyed and the territory he conquered in the case of Jogja, the majority of the relics of the palace are there in the British museum in the British Zulu case deliberately caused problems to destroy Zululand",-0.8555,negatif,netral
Thu Aug 31 04:05:06 +0000 2023,@UGM_FESS Tidak ada pantai siung di listnya? Jogja date macam apa ini? ÃƒÂ¯Ã‚Â¸Ã‚Â,,in,Indonesia,Hemz_Ham,@ugm_fess tidak ada pantai siung di listnya? jogja date macam apa ini? ÃƒÂ¯Ã‚Â¸Ã‚Â,fess tidak ada pantai siung di listnya jogja date macam apa ini,pantai siung,-8.181823,110.683239,visit jogja,fess tidak ada pantai siung di listnya jogja date macam apa ini,fess ada pantai siung listnya jogja date macam apa,"['fess', 'ada', 'pantai', 'siung', 'listnya', 'jogja', 'date', 'macam', 'apa']",fess ada pantai siung listnya jogja date macam apa,FESS No Siung Beach on what kind of jogja date list,-0.296,negatif,netral
Fri Jan 27 04:03:26 +0000 2023,@stevesoobean kalau ke jogja pasti malioboro sama pantai parangtritis,,in,,ceyejun,@stevesoobean kalau ke jogja pasti malioboro sama pantai parangtritis,kalau ke jogja pasti malioboro sama pantai parangtritis,malioboro,-7.792646,110.365871,dinpar diy 2023,kalau ke jogja pasti malioboro sama pantai parangtritis,kalau jogja malioboro sama pantai parangtritis,"['kalau', 'jogja', 'malioboro', 'sama', 'pantai', 'parangtritis']",kalau jogja malioboro sama pantai parangtritis,"If you go to Jogja, Malioboro will be the same as Parangtritis Beach",0,netral,netral
Thu Nov 09 14:02:15 +0000 2023,Kaya Koleksi danamp; Pertunjukan Seni dan Budaya Ini Harga Tiket masuk Museum Sonobudoyo https://t.co/j9xGxdmjTV #beritajogja #jogja #jogjaistimewa https://t.co/ZtYWreGdt4,https://pbs.twimg.com/media/F-f1v_ha4AEG68L.jpg,in,"Yogyakarta, Indonesia",Harian_Jogja,kaya koleksi danamp; pertunjukan seni dan budaya ini harga tiket masuk museum sonobudoyo https://t.co/j9xgxdmjtv #beritajogja #jogja #jogjaistimewa https://t.co/ztywregdt4,kaya koleksi danamp pertunjukan seni dan budaya ini harga tiket masuk museum sonobudoyo,museum sonobudoyo,-7.802395,110.363947,visit jogja,kaya koleksi danamp pertunjukan seni dan budaya ini harga tiket masuk museum sonobudoyo,kaya koleksi danamp pertunjukan seni budaya harga tiket masuk museum sonobudoyo,"['kaya', 'koleksi', 'danamp', 'pertunjukan', 'seni', 'budaya', 'harga', 'tiket', 'masuk', 'museum', 'sonobudoyo']",kaya koleksi danamp tunjuk seni budaya harga tiket masuk museum sonobudoyo,The word collection in art and culture performances is the price of admission to the Sonobudoyo Museum,0,netral,netral
Mon Mar 20 15:53:28 +0000 2023,Ada yg dr jogja gak sih? Mau nanya2 internity sekitaran malioboro sm Pantai yg bagus dmn :(,,in,ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â®ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â©  in ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Â¯ÃƒÂ°Ã…Â¸Ã¢â‚¬Â¡Ã‚Âµ,mLee_sr,ada yg dr jogja gak sih? mau nanya2 internity sekitaran malioboro sm pantai yg bagus dmn :(,ada yg dr jogja gak sih mau nanya internity sekitaran malioboro sm pantai yg bagus dmn,malioboro,-7.792646,110.365871,dinpar diy 2023,ada yang dari jogja gak sih mau nanya internity sekitaran malioboro sm pantai yang bagus dmn,jogja gak sih mau nanya internity sekitaran malioboro sm pantai yang bagus dmn,"['jogja', 'gak', 'sih', 'mau', 'nanya', 'internity', 'sekitaran', 'malioboro', 'sm', 'pantai', 'yang', 'bagus', 'dmn']",jogja gak sih mau nanya internity sekitar malioboro sm pantai yang bagus dmn,"There are those from Jogja, I don't want to ask the internity around Malioboro",-0.0572,negatif,netral
Sun Feb 26 05:52:45 +0000 2023,@tanyakanrl gara-gara rep bakpia tugu jogja pas ada yang tanya rekomendasi bakpia yang enak mana salty nya tu kek sampe nge goblok-goblokin gitu,,in,she / her,sunshinedreamie,@tanyakanrl gara-gara rep bakpia tugu jogja pas ada yang tanya rekomendasi bakpia yang enak mana salty nya tu kek sampe nge goblok-goblokin gitu,garagara rep bakpia tugu jogja pas ada yang tanya rekomendasi bakpia yang enak mana salty nya tu kek sampe nge goblokgoblokin gitu,tugu jogja,-7.782922,110.367076,visit jogja,garagara rep bakpia tugu jogja pas ada yang tanya rekomendasi bakpia yang enak mana salty nya tu kek sampe nge goblokgoblokin gitu,garagara rep bakpia tugu jogja pas tanya rekomendasi bakpia yang enak mana salty nya tu kek sampe nge goblokgoblokin gitu,"['garagara', 'rep', 'bakpia', 'tugu', 'jogja', 'pas', 'tanya', 'rekomendasi', 'bakpia', 'yang', 'enak', 'mana', 'salty', 'nya', 'tu', 'kek', 'sampe', 'nge', 'goblokgoblokin', 'gitu']",garagara rep bakpia tugu jogja pas tanya rekomendasi bakpia yang enak mana salty nya tu kek sampe nge goblokgoblokin gitu,Garagara Rep Bakpia Jogja PAS Monument Someone asked for a delicious Bakpia Recommendation where Salty was a cake,0.5719,positif,negatif
Thu Jul 20 04:33:36 +0000 2023,Resmi Dibuka Museum Wahanarata Keraton Jogja Hadirkan Teknologi Digital https://t.co/7u5OL11rDR https://t.co/mqEAS9dnoM,https://pbs.twimg.com/media/F1dBiCvagAERGHX.jpg,in,"Solo, Central Java, Indonesia",soloposdotcom,resmi dibuka museum wahanarata keraton jogja hadirkan teknologi digital https://t.co/7u5ol11rdr https://t.co/mqeas9dnom,resmi dibuka museum wahanarata keraton jogja hadirkan teknologi digital,keraton jogja,-7.805306,110.364207,visit jogja,resmi dibuka museum wahanarata keraton jogja hadirkan teknologi digital,resmi dibuka museum wahanarata keraton jogja hadirkan teknologi digital,"['resmi', 'dibuka', 'museum', 'wahanarata', 'keraton', 'jogja', 'hadirkan', 'teknologi', 'digital']",resmi buka museum wahanarata keraton jogja hadir teknologi digital,Officially opened the Wahaarata Keraton Jogja Museum presents digital technology,0,netral,netral
Tue Apr 25 14:45:42 +0000 2023,Pantai Slili Gunungkidul DIY. Cc @megoodh #jogja #explorejogja #wisatajogja #slili #pantaislili #slilibeach #pantai #beach #yogyakarta #exploreyogyakarta #wisatayogyakarta #gunungkidul #exploregunungkidul #wisatagunungkidul #fyp https://t.co/IoWYO2zsEb,https://pbs.twimg.com/ext_tw_video_thumb/1650873654870417408/pu/img/946GjWQtcc-qh9nO.jpg,in,"Yogyakarta, Indonesia",area_diy,pantai slili gunungkidul diy. cc @megoodh #jogja #explorejogja #wisatajogja #slili #pantaislili #slilibeach #pantai #beach #yogyakarta #exploreyogyakarta #wisatayogyakarta #gunungkidul #exploregunungkidul #wisatagunungkidul #fyp https://t.co/iowyo2zseb,pantai slili gunungkidul diy cc,pantai slili,-8.144966,110.602877,visit jogja,pantai slili gunungkidul diy cc,pantai slili gunungkidul diy cc,"['pantai', 'slili', 'gunungkidul', 'diy', 'cc']",pantai slili gunungkidul diy cc,Slili Beach Gunungkidul DIY CC,0,netral,netral
