created_at,full_text,image_url,lang,location,username,caseFolded_fullText,cleaning,matched_keyword,lintang,bujur,sumber,norm,stopwords,tokenized,stemmed,translated,score_vader,klasifikasi_vader
Sun Jan 01 14:11:46 +0000 2023, Pengunjung Pantai Parangtritis agar mengikuti himbauan dari petugas atau papan petunjuk larangan untuk tidak berenang di laut pesannya.,,in,"Yogyakarta, Indonesia",PoldaJogja, pengunjung pantai parangtritis agar mengikuti himbauan dari petugas atau papan petunjuk larangan untuk tidak berenang di laut pesannya.,pengunjung pantai parangtritis agar mengikuti himbauan dari petugas atau papan petunjuk larangan untuk tidak berenang di laut pesannya,pantai parangtritis,-8.024608,110.329804,visit jogja,pengunjung pantai parangtritis agar mengikuti himbauan dari petugas atau papan petunjuk larangan untuk tidak berenang di laut pesannya,pengunjung pantai parangtritis mengikuti himbauan petugas papan petunjuk larangan tidak berenang laut pesannya,"['pengunjung', 'pantai', 'parangtritis', 'mengikuti', 'himbauan', 'petugas', 'papan', 'petunjuk', 'larangan', 'tidak', 'berenang', 'laut', 'pesannya']",unjung pantai parangtritis ikut himbauan tugas papan tunjuk larang tidak renang laut pesan,Visitors of Parangtritis Beach to follow the appeal of officers or signal prohibitions not to swim in the sea,0,netral
Wed Mar 22 14:12:31 +0000 2023,#3 Pelajar Asal Sragen Terseret Gelombang Pantai Parangtritis saat Padusan - Tribun Jogja https://t.co/gCa023YiNI,,in,,SragenIDNEWS,#3 pelajar asal sragen terseret gelombang pantai parangtritis saat padusan - tribun jogja https://t.co/gca023yini,pelajar asal sragen terseret gelombang pantai parangtritis saat padusan  tribun jogja,pantai parangtritis,-8.024608,110.329804,visit jogja,pelajar asal sragen terseret gelombang pantai parangtritis saat padusan  tribun jogja,pelajar asal sragen terseret gelombang pantai parangtritis padusan  tribun jogja,"['pelajar', 'asal', 'sragen', 'terseret', 'gelombang', 'pantai', 'parangtritis', 'padusan', 'tribun', 'jogja']",ajar asal sragen seret gelombang pantai parangtritis padusan tribun jogja,Students from Sragen were dragged by Parangtritis Beach Waves during Padusan Tribune Jogja,-0.0516,negatif
Tue Mar 28 16:20:54 +0000 2023,#Jogja | Bunuh Pacar Secara Sadis di Pantai Ngrawe Mahasiswa UNS Dituntut Hukuman Mati - https://t.co/VQQKH5Ph2r,,in,"Minggir, Yogyakarta",Den_Mitro,#jogja | bunuh pacar secara sadis di pantai ngrawe mahasiswa uns dituntut hukuman mati - https://t.co/vqqkh5ph2r,bunuh pacar secara sadis di pantai ngrawe mahasiswa uns dituntut hukuman mati,pantai ngrawe,-8.133339,110.55374,visit jogja,bunuh pacar secara sadis di pantai ngrawe mahasiswa uns dituntut hukuman mati,bunuh pacar sadis pantai ngrawe mahasiswa uns dituntut hukuman mati,"['bunuh', 'pacar', 'sadis', 'pantai', 'ngrawe', 'mahasiswa', 'uns', 'dituntut', 'hukuman', 'mati']",bunuh pacar sadis pantai ngrawe mahasiswa uns tuntut hukum mati,"kill a girlfriend sadistically at the ngrawe beach, an UNS student is prosecuted to death",-0.9042,negatif
Sat May 20 10:42:54 +0000 2023,#Sempat Terseret Arus Pantai Parangtritis Wisatawan Asal ... - Harian Jogja #Colomadu #Karanganyar https://t.co/x056XqlhKF,,in,,ColomaduKRA,#sempat terseret arus pantai parangtritis wisatawan asal ... - harian jogja #colomadu #karanganyar https://t.co/x056xqlhkf,terseret arus pantai parangtritis wisatawan asal   harian jogja,pantai parangtritis,-8.024608,110.329804,visit jogja,terseret arus pantai parangtritis wisatawan asal   harian jogja,terseret arus pantai parangtritis wisatawan asal   harian jogja,"['terseret', 'arus', 'pantai', 'parangtritis', 'wisatawan', 'asal', 'harian', 'jogja']",seret arus pantai parangtritis wisatawan asal hari jogja,Dragged Parangtritis Beach Tourists from Jogja Daily,-0.0516,negatif
Thu May 11 06:17:46 +0000 2023,#SobatVisitingJogja datang dan saksikan Kenduri CB Pelopor Utamakan kesehatan dalam perjalanan No Blayer No alkohol. Dan tetap jaga ketertiban lalu lintas dan sopan santun Sob Sabtu 13 Mei 2023 ÃƒÂ¢Ã…â€™Ã…Â¡ÃƒÂ¯Ã‚Â¸Ã‚Â 13.00-23.00 WIB Taman Wisata Candi Prambanan https://t.co/vkNPONJegp,https://pbs.twimg.com/ext_tw_video_thumb/1656544030313025537/pu/img/AMTGtQ5yVXX-OpXa.jpg,in,"Yogyakarta, Indonesia",visiting_jogja,#sobatvisitingjogja datang dan saksikan kenduri cb pelopor utamakan kesehatan dalam perjalanan no blayer no alkohol. dan tetap jaga ketertiban lalu lintas dan sopan santun sob sabtu 13 mei 2023 ÃƒÂ¢Ã…â€™Ã…Â¡ÃƒÂ¯Ã‚Â¸Ã‚Â 13.00-23.00 wib taman wisata candi prambanan https://t.co/vknponjegp,datang dan saksikan kenduri cb pelopor utamakan kesehatan dalam perjalanan no blayer no alkohol dan tetap jaga ketertiban lalu lintas dan sopan santun sob sabtu  mei    wib taman wisata candi prambanan,candi prambanan,-7.752021,110.491467,visit jogja,datang dan saksikan kenduri cb pelopor utamakan kesehatan dalam perjalanan no blayer no alkohol dan tetap jaga ketertiban lalu lintas dan sopan santun sob sabtu  mei    wib taman wisata candi prambanan,datang saksikan kenduri cb pelopor utamakan kesehatan perjalanan no blayer no alkohol tetap jaga ketertiban lalu lintas sopan santun sob sabtu  mei    wib taman wisata candi prambanan,"['datang', 'saksikan', 'kenduri', 'cb', 'pelopor', 'utamakan', 'kesehatan', 'perjalanan', 'no', 'blayer', 'no', 'alkohol', 'tetap', 'jaga', 'ketertiban', 'lalu', 'lintas', 'sopan', 'santun', 'sob', 'sabtu', 'mei', 'wib', 'taman', 'wisata', 'candi', 'prambanan']",datang saksi kenduri cb pelopor utama sehat jalan no blayer no alkohol tetap jaga tertib lalu lintas sopan santun sob sabtu mei wib taman wisata candi prambanan,"Come and Watch Kenduri CB Pelopor Prioritizing Health in the Travel No Blayer No Alcohol and keep traffic order and courtesy friend, Sob on May May WIB Taman Tourism Temple Prambanan",0.5248,positif
Sun Jul 30 18:23:48 +0000 2023,@_palungmariana @DivHumas_Polri @DPR_RI @antikorupsi @KejaksaanRI @KemensetnegRI @KPK_RI @setkabgoid @setpresRI @Kemenkumham_RI Banyak merusak ligkungan Gunung Merapi lur Magelang Jogja Klaten. SKS,,in,,BenDoJelas,@_palungmariana @divhumas_polri @dpr_ri @antikorupsi @kejaksaanri @kemensetnegri @kpk_ri @setkabgoid @setpresri @kemenkumham_ri banyak merusak ligkungan gunung merapi lur magelang jogja klaten. sks,palungmariana polri ri    ri   ri banyak merusak ligkungan gunung merapi lur magelang jogja klaten sks,gunung merapi,-7.540716,110.445723,visit jogja,palungmariana polri ri    ri   ri banyak merusak ligkungan gunung merapi lur magelang jogja klaten sks,palungmariana polri ri    ri   ri banyak merusak ligkungan gunung merapi lur magelang jogja klaten sks,"['palungmariana', 'polri', 'ri', 'ri', 'ri', 'banyak', 'merusak', 'ligkungan', 'gunung', 'merapi', 'lur', 'magelang', 'jogja', 'klaten', 'sks']",palungmariana polri ri ri ri banyak rusak ligkungan gunung merapi lur magelang jogja klaten sks,PALUNGMARIANA POLRI RI RI RI RI Many damaged the Mount Merapi Lur Lur Magelang Jogja Klaten SKS,-0.4404,negatif
Thu Dec 14 16:36:21 +0000 2023,@anotherlilbrow Adekku itu dia baru aja otw semarang jam 10 tadi habis dri jogja gaada niatan tuh nengokin kakaknya di kos malah main sama sirkelnya sampe ke gunung kidul bahkan ke malioboro ,,in,an ordinary fangirl,alhatuss,@anotherlilbrow adekku itu dia baru aja otw semarang jam 10 tadi habis dri jogja gaada niatan tuh nengokin kakaknya di kos malah main sama sirkelnya sampe ke gunung kidul bahkan ke malioboro ,adekku itu dia baru aja otw semarang jam  tadi habis dri jogja gaada niatan tuh nengokin kakaknya di kos malah main sama sirkelnya sampe ke gunung kidul bahkan ke malioboro,malioboro,-7.792646,110.365871,dinpar diy 2023,adekku itu dia baru aja otw semarang jam  tadi habis dri jogja gaada niatan tuh nengokin kakaknya di kos malah main sama sirkelnya sampe ke gunung kidul bahkan ke malioboro,adekku dia baru aja otw semarang jam  tadi habis dri jogja gaada niatan tuh nengokin kakaknya kos malah main sama sirkelnya sampe gunung kidul bahkan malioboro,"['adekku', 'dia', 'baru', 'aja', 'otw', 'semarang', 'jam', 'tadi', 'habis', 'dri', 'jogja', 'gaada', 'niatan', 'tuh', 'nengokin', 'kakaknya', 'kos', 'malah', 'main', 'sama', 'sirkelnya', 'sampe', 'gunung', 'kidul', 'bahkan', 'malioboro']",adekku dia baru aja otw semarang jam tadi habis dri jogja gaada niat tuh nengokin kakak kos malah main sama sirkelnya sampe gunung kidul bahkan malioboro,"My sister was just otw Semarang this time it was finished from Jogja, there was no intention of looking at his brother in the boarding house, instead playing with the circle until Gunung Kidul even to Malioboro",-0.1027,negatif
Sat Jan 21 14:12:45 +0000 2023,@Barrett_M82Ax @memefess den ganjar ngomong gitu tahun berapa om klo boleh tau ? dari 2018 pas viral angkringan malioboro nipu harga member grup ICJ pada komen denial ktpmu ndi ? nek raduwe duit rasah wisata neng jogja dll cikal bakalnya dari situ bahkan ,,in,Christmas Island,abdrianriz1992,@barrett_m82ax @memefess den ganjar ngomong gitu tahun berapa om klo boleh tau ? dari 2018 pas viral angkringan malioboro nipu harga member grup icj pada komen denial ktpmu ndi ? nek raduwe duit rasah wisata neng jogja dll cikal bakalnya dari situ bahkan ,max  den ganjar ngomong gitu tahun berapa om klo boleh tau  dari  pas viral angkringan malioboro nipu harga member grup icj pada komen denial ktpmu ndi  nek raduwe duit rasah wisata neng jogja dll cikal bakalnya dari situ bahkan,malioboro,-7.792646,110.365871,dinpar diy 2023,max  den ganjar ngomong gitu tahun berapa om klo boleh tau  dari  pas viral angkringan malioboro nipu harga member grup icj pada komen denial ktpmu ndi  nek raduwe duit rasah wisata neng jogja dll cikal bakalnya dari situ bahkan,max  den ganjar ngomong gitu tahun berapa om klo tau   pas viral angkringan malioboro nipu harga member grup icj komen denial ktpmu ndi  nek raduwe duit rasah wisata neng jogja cikal bakalnya situ bahkan,"['max', 'den', 'ganjar', 'ngomong', 'gitu', 'tahun', 'berapa', 'om', 'klo', 'tau', 'pas', 'viral', 'angkringan', 'malioboro', 'nipu', 'harga', 'member', 'grup', 'icj', 'komen', 'denial', 'ktpmu', 'ndi', 'nek', 'raduwe', 'duit', 'rasah', 'wisata', 'neng', 'jogja', 'cikal', 'bakalnya', 'situ', 'bahkan']",max den ganjar ngomong gitu tahun berapa om klo tau pas viral angkring malioboro nipu harga member grup icj komen denial ktpmu ndi nek raduwe duit rasah wisata neng jogja cikal bakal situ bahkan,"Max den Ganjar talking like that year, uncle if you can know from when the Malioboro angkringan viral cheated the price of the ICJ group members in the Denial KTPmu commentary, NDI Raduwe Raduwe Rasah Tourism Neng Jogja etc.",-0.2023,negatif
Thu May 18 22:56:52 +0000 2023,@bonuxxy @merapi_uncover Beda saat wisata Jogja stuck di Malioboro saja Solo mulai berbenah merenov bbrp tempat wisatanya. Taman pintar yg deket Malioboro aja ga keurus. Di solo semua bisa diakses pakai bus Batik Solo Trans sedangkan Trans Jogja jalurnya aja muter2 kurang jelas,,in,,ChoyruImam,@bonuxxy @merapi_uncover beda saat wisata jogja stuck di malioboro saja solo mulai berbenah merenov bbrp tempat wisatanya. taman pintar yg deket malioboro aja ga keurus. di solo semua bisa diakses pakai bus batik solo trans sedangkan trans jogja jalurnya aja muter2 kurang jelas,uncover beda saat wisata jogja stuck di malioboro saja solo mulai berbenah merenov bbrp tempat wisatanya taman pintar yg deket malioboro aja ga keurus di solo semua bisa diakses pakai bus batik solo trans sedangkan trans jogja jalurnya aja muter kurang jelas,malioboro,-7.792646,110.365871,dinpar diy 2023,uncover beda saat wisata jogja stuck di malioboro saja solo mulai berbenah merenov beberapa tempat wisatanya taman pintar yang deket malioboro aja ga keurus di solo semua bisa diakses pakai bus batik solo trans sedangkan trans jogja jalurnya aja muter kurang jelas,uncover beda wisata jogja stuck malioboro solo mulai berbenah merenov beberapa tempat wisatanya taman pintar deket malioboro aja ga keurus solo semua diakses pakai bus batik solo trans trans jogja jalurnya aja muter kurang jelas,"['uncover', 'beda', 'wisata', 'jogja', 'stuck', 'malioboro', 'solo', 'mulai', 'berbenah', 'merenov', 'beberapa', 'tempat', 'wisatanya', 'taman', 'pintar', 'deket', 'malioboro', 'aja', 'ga', 'keurus', 'solo', 'semua', 'diakses', 'pakai', 'bus', 'batik', 'solo', 'trans', 'trans', 'jogja', 'jalurnya', 'aja', 'muter', 'kurang', 'jelas']",uncover beda wisata jogja stuck malioboro solo mulai benah merenov beberapa tempat wisata taman pintar deket malioboro aja ga urus solo semua akses pakai bus batik solo trans trans jogja jalur aja muter kurang jelas,"Uncover is different when Jogja's stuck tourism in Malioboro alone Solo began to clean up some of the tourist attractions that are close to the Malioboro smart park, all not to be taken care of in Solo, all of them can be accessed using the Solo Trans Batik buses while Trans Jogja the path is unclear.",0.7506,positif
Sun Jul 30 21:44:30 +0000 2023,@burglar1673 Yang Jogja tu salah deh bukan embung tambakboyo Tapi ada satu tempat berkumpul kalau malam Kalau beruntung bisa liat live ngewe,,in,tepi kota JOGJA,Rsraji__00,@burglar1673 yang jogja tu salah deh bukan embung tambakboyo tapi ada satu tempat berkumpul kalau malam kalau beruntung bisa liat live ngewe,yang jogja tu salah deh bukan embung tambakboyo tapi ada satu tempat berkumpul kalau malam kalau beruntung bisa liat live ngewe,embung tambakboyo,-7.756227,110.415013,visit jogja,yang jogja tu salah deh bukan embung tambakboyo tapi ada satu tempat berkumpul kalau malam kalau beruntung bisa liat live ngewe,jogja tu salah deh bukan embung tambakboyo ada satu tempat berkumpul kalau malam kalau beruntung liat live ngewe,"['jogja', 'tu', 'salah', 'deh', 'bukan', 'embung', 'tambakboyo', 'ada', 'satu', 'tempat', 'berkumpul', 'kalau', 'malam', 'kalau', 'beruntung', 'liat', 'live', 'ngewe']",jogja tu salah deh bukan embung tambakboyo ada satu tempat kumpul kalau malam kalau untung liat live ngewe,the one who is wrong is not the tambakboyo reservoir but there is one place to gather if it's night if you're lucky to see live ngewe,0.3919,positif
