dtw,frekuensi,total
La Li Sa Farmer Village,4,111181
Museum Dirgantara,24,0
Gunung Pengger,24,415792
Puncak Becici,10,213181
Lintang 1000,5,9023
Pinus Asri,2,8711
Pinus Sari,0,346915
1000 Batu,4,68426
Bukit Panguk,8,14070
Bukit Mojo,2,0
LBH Dahromo,0,0
Balong Park,0,19476
Galaxi Water Park,0,22084
Taman Rekreasi Tirto Tamansari,0,102920
Selopamioro Adventure park,5,0
Kebun Pisang Mbah Lasio,0,1970
Goa Jepang,1,0
Puncak Sosok,8,384975
Kawasan Cagar Budaya Jagalan,0,1336
Masjid Gedhe Mataram Kotagede,0,39785
Makam Sunan Cirebon,0,0
Lembah Sorory,0,22314
Museum Soeharto,2,68186
Museum Muhammadiyah,2,48537
Padepokan Sumber Karahayon,0,115
Museum Wayang Beber Sekartaji,1,2213
Museum Laboratorium Sejarah UPY,0,7417
Museum Tani Jawa,0,3808
Museum Purbakala Pleret,3,7813
Museum History Of Java,1,3091
Museum Taman Tino Sidin,2,2703
Museum Bantul Masa Belanda,0,772
Museum Rumah Garuda,0,100
Museum Coklat Monggo,0,32917
Embung Nglanggeran,13,63747
Watu Giring,0,122400
Bejiharjo Edupark,1,58391
Gua Pindul Dewa Bejo,9,58391
Goa Rancang Kencana,7,27483
Air Terjun Sri Gethuk,7,27483
Gunung Api Purba Nglanggeran,16,63747
Pantai Kukup,14,1849395
Pantai Sepanjang,9,1849395
Beach Drini,26,1849395
Pantai Sadranan,13,1849395
Pantai Pok Tunggal,4,1849395
Pantai Pulang Sawal,0,1849395
Pantai Wediombo,14,163564
Pantai Watu Lumbung,10,163564
Pantai Sedahan,7,163564
Pantai Greweng,5,163564
Pantai Ngobaran,6,135919
Gua Tapan,6,598266
Goa Cerme,1,1768
Pantai Timang,13,5075
Pantai Buron,0,490249
Pantai Kesirat,22,490249
Hutan Wonosadi,0,38000
Telaga Jonge,1,117607
Geoforest Watu Payung Turunan,2,2697
Waduk Beton Pojong,0,504
Goa Cokro,0,504
Goa Plalar,0,504
Kampoeng Jelok,0,3334
Taman Bendowo,0,3125
Omah Jamu,0,3125
Agro Milenial,0,3125
Kampung Emas,1,3562
Ekowisata Tritis Gunungkidul,0,65
Gua Grengseng,0,803
Purba Selo Nawing Geo Park,0,867
Goa Song Gilap,0,0
Rest Area Bunder,0,0
Goa bentar the swargoloka adventure,0,1130
Wisata Watu Gendong,0,41400
Kali Gowang,0,29758
Geosite Kali Ngalang,0,245
Curug Nogososro,0,2966
Desa Wisata Mulo,0,4098
Kamwis Warungboto,0,1685
Kamwis Dipowinatan,0,18
Kamwis Kadipaten,0,81512
Kamwis Tahunan,0,1903
Kamwis Sosromenduran,1,13938
Kamwis Tamansari,0,0
Kamwis Prenggan,0,1492
Kamwis  Surokarsan,0,555
Kamwis Sayidan,1,0
Kamwis Dewobronto,0,956
Kamwis Rejowinangun,0,0
Kamwis Cokrodiningratan,0,3553
Kamwis Purbayan,5,2973
Kamwis Giwangan,0,38777
Kamwis Suryatmajan,1,180
Kamwis Bausasran,0,739
Kamwis Kauman,0,3623
Museum Jederal Sudirman,0,3428
Museum Benteng Vredeburg,26,500294
Museum Sandi,13,21545
Museum Dr. Yap Prawirohusodo,0,1900
Museum Pusat TNI AD Dharma Wiratama,0,23833
Museum Monumen Pangeran Diponegoro,0,538
Museum Perjuangan,6,2984
Wahanarata/Museum Kereta Kraton,6,77737
Museum Intro Living Kotagede,0,789
Museum Bahari,2,570
TM 1 Malioboro,380,3090657
Museum Batik Yogyakarta,6,490
Situs Warungboto,2,4462
Desa Wisata Widosari,1,5496
Desa Wisata Sawah Surjan,0,0
Desa Wisata Sidorejo,0,140
Desa Wisata Jatirejo,0,21007
Desa Wisata Sukoreno,0,107
Desa Wisata Glagah,0,232
Desa Wisata Jatimulyo,0,933
Desa Wisata Purwosari,1,4789
Desa Wisata Kalibiru,0,19427
Desa Wisata Hargorejo,0,0
Desa Wisata Sermo,0,863
Desa Wisata Dekso,0,70
Desa Wisata Banjarasri,0,2128
Desa Wisata Hargotirto,2,2102
