frasa,frekuensi,lintang,bujur
air terjun lepo,1,-7.94913,110.471994
plengkung gading,1,-7.813728,110.362907
tebing watu mabur,1,-7.947138,110.44101
candi kalasan,1,-7.76725,110.472336
sidomulyo,1,-7.770007,110.476781
bukit pangul,1,-7.944142,110.293456
candi banyunibo,1,-7.777901,110.494073
desa wisata kebonagung,1,-7.932494,110.368461
de mangol,1,-7.837857,110.489053
desa wisata purwosari,1,-7.734916,110.133405
bukit cendana,1,-7.82731,110.099884
candi sewu,1,-7.743918,110.492934
desa wisata widosari,1,-7.661497,110.154288
mlangi,1,-7.76337,110.337592
gardu pandang kaliurang,1,-7.593007,110.424993
pantai parang endog,1,-8.029949,110.344312
bhumi merapi,1,-7.640047,110.426404
pantai sarangan,1,-8.147566,110.59625
pantai watu bolong,1,-8.139479,110.581013
alun alun kidul,1,-7.811877,110.363204
desa wisata tinalah,1,-7.712533,110.204554
taman pelangi jogja,1,-7.750292,110.369491
telaga jonge,1,-8.011681,110.624718
bejiharjo edupark,1,-7.937145,110.63588
kampung suryatmajan,1,-7.796118,110.36875
batu alien,1,-7.602323,110.455299
makam raja imogiri,1,-7.920497,110.3958
goa cerme,1,-7.979433,110.380327
pantai bugel,1,-7.951309,110.152789
gunung jaran,1,-7.64524,110.1422
taman pelangi,1,-7.750292,110.369491
puncak suroloyo,1,-7.646325,110.181062
desa wisata nglinggo,1,-7.647656,110.141858
ayunan langit,1,-7.735635,110.130326
pantai nguyahan,1,-8.118471,110.50307
desa wisata tanjung,1,-7.704653,110.379959
gua maria,1,-7.791234,110.389421
history of java,1,-7.843893,110.362325
kampung wisata sayidan,1,-7.802491,110.370357
pentingsari,1,-7.639965,110.430702
embung banjaroya,1,-7.658805,110.234857
pantai dadap ayam,1,-8.120484,110.507448
pantai mbirit,1,-8.112917,110.488306
menoreh view,1,-7.749531,110.2061
goa jepang,1,-8.001828,110.329731
pantai ngedan,1,-8.116342,110.496336
watu goyang,1,-7.927409,110.412059
desa wisata tembi,1,-7.872525,110.353219
kampung emas,1,-7.867891,110.542573
towilfiets,1,-7.822057,110.231947
kampung wisata sosromenduran,1,-7.792185,110.362199
museum pendidikan,1,-7.7748,110.387224
mahaloka paradise,1,-7.747152,110.205584
museum karbol,1,-7.796004,110.435571
museum wayang beber sekartaji,1,-7.924744,110.308257
puro pakualaman,2,-7.800999,110.376159
watu gupit,2,-8.026855,110.345912
pengklik,2,-7.804003,110.478049
batu kapal,2,-7.820917,110.453687
desa wisata krebet,2,-7.858821,110.299767
lava bantal,2,-7.808152,110.459518
gunung api nglanggeran,2,-7.841973,110.541643
hutan bunder,2,-7.903274,110.555318
bukit mojo,2,-7.957355,110.433499
Tlogo Putri,2,-7.593578,110.432327
pancoh,2,-7.636589,110.394955
gereja ganjuran,2,-7.926598,110.318892
gumuk pasir parangkusumo,2,-8.01845,110.319551
exotarium,2,-7.728865,110.35849
museum bahari,2,-7.801121,110.349334
pantai ngrenehan,2,-8.121147,110.514234
desa wisata kasongan,2,-7.845359,110.338011
desa wisata hargotirto,2,-7.799373,110.116709
situs warungboto,2,-7.810184,110.393307
klebengan,2,-7.766859,110.386267
pantai seruni,2,-8.159907,110.631575
